Array count,Array size,Sorter,Time
750,4,openmp sorting network,121300
750,4,sequential sorting network,98700
750,4,std::sort,127500
760,4,own sorting network,158570300
760,4,openmp sorting network,96000
760,4,sequential sorting network,96100
760,4,std::sort,104600
770,4,own sorting network,133391400
770,4,openmp sorting network,94900
770,4,sequential sorting network,94300
770,4,std::sort,102700
780,4,own sorting network,142308200
780,4,openmp sorting network,110000
780,4,sequential sorting network,103800
780,4,std::sort,118000
790,4,own sorting network,140287800
790,4,openmp sorting network,99900
790,4,sequential sorting network,101200
790,4,std::sort,109000
800,4,own sorting network,141578100
800,4,openmp sorting network,107400
800,4,sequential sorting network,98100
800,4,std::sort,107200
810,4,own sorting network,143845800
810,4,openmp sorting network,112100
810,4,sequential sorting network,102900
810,4,std::sort,108300
820,4,own sorting network,141846500
820,4,openmp sorting network,133500
820,4,sequential sorting network,98500
820,4,std::sort,110800
830,4,own sorting network,144543400
830,4,openmp sorting network,104000
830,4,sequential sorting network,103700
830,4,std::sort,110100
840,4,own sorting network,144178900
840,4,openmp sorting network,101300
840,4,sequential sorting network,103200
840,4,std::sort,115000
850,4,own sorting network,161166700
850,4,openmp sorting network,115700
850,4,sequential sorting network,139500
850,4,std::sort,115500
860,4,own sorting network,152210400
860,4,openmp sorting network,111100
860,4,sequential sorting network,105800
860,4,std::sort,116500
870,4,own sorting network,148686000
870,4,openmp sorting network,106700
870,4,sequential sorting network,107700
870,4,std::sort,117100
880,4,own sorting network,147000200
880,4,openmp sorting network,114700
880,4,sequential sorting network,104500
880,4,std::sort,116900
890,4,own sorting network,144748000
890,4,openmp sorting network,108400
890,4,sequential sorting network,105100
890,4,std::sort,112200
900,4,own sorting network,151092800
900,4,openmp sorting network,107600
900,4,sequential sorting network,106300
900,4,std::sort,116600
910,4,own sorting network,155486300
910,4,openmp sorting network,105600
910,4,sequential sorting network,109500
910,4,std::sort,116400
920,4,own sorting network,155403400
920,4,openmp sorting network,110200
920,4,sequential sorting network,110400
920,4,std::sort,120500
930,4,own sorting network,155943800
930,4,openmp sorting network,109500
930,4,sequential sorting network,110100
930,4,std::sort,115600
940,4,own sorting network,151360800
940,4,openmp sorting network,108300
940,4,sequential sorting network,110100
940,4,std::sort,118200
950,4,own sorting network,149607600
950,4,openmp sorting network,113000
950,4,sequential sorting network,105600
950,4,std::sort,128700
960,4,own sorting network,149728900
960,4,openmp sorting network,104600
960,4,sequential sorting network,120700
960,4,std::sort,113000
970,4,own sorting network,144256200
970,4,openmp sorting network,102200
970,4,sequential sorting network,104000
970,4,std::sort,118400
980,4,own sorting network,142576800
980,4,openmp sorting network,102700
980,4,sequential sorting network,100800
980,4,std::sort,119100
990,4,own sorting network,140022500
990,4,openmp sorting network,102000
990,4,sequential sorting network,112400
990,4,std::sort,109100
1000,4,own sorting network,141645700
1000,4,openmp sorting network,102400
1000,4,sequential sorting network,103800
1000,4,std::sort,110600
10,8,own sorting network,5660700
10,8,openmp sorting network,4300
10,8,sequential sorting network,4200
10,8,std::sort,3400
20,8,own sorting network,12644300
20,8,openmp sorting network,8200
20,8,sequential sorting network,8100
20,8,std::sort,6100
30,8,own sorting network,17977800
30,8,openmp sorting network,11800
30,8,sequential sorting network,12000
30,8,std::sort,8200
40,8,own sorting network,23237100
40,8,openmp sorting network,15400
40,8,sequential sorting network,14200
40,8,std::sort,10900
50,8,own sorting network,29225200
50,8,openmp sorting network,20000
50,8,sequential sorting network,19400
50,8,std::sort,14300
60,8,own sorting network,34973400
60,8,openmp sorting network,24000
60,8,sequential sorting network,22300
60,8,std::sort,16300
70,8,own sorting network,41136500
70,8,openmp sorting network,25600
70,8,sequential sorting network,25900
70,8,std::sort,19300
80,8,own sorting network,47227000
80,8,openmp sorting network,30200
80,8,sequential sorting network,28900
80,8,std::sort,21600
90,8,own sorting network,53991700
90,8,openmp sorting network,33400
90,8,sequential sorting network,32800
90,8,std::sort,24300
100,8,own sorting network,58503500
100,8,openmp sorting network,37300
100,8,sequential sorting network,35300
100,8,std::sort,26200
110,8,own sorting network,63637200
110,8,openmp sorting network,40500
110,8,sequential sorting network,39800
110,8,std::sort,36400
120,8,own sorting network,70028100
120,8,openmp sorting network,43500
120,8,sequential sorting network,43000
120,8,std::sort,32000
130,8,own sorting network,100027500
130,8,openmp sorting network,48400
130,8,sequential sorting network,49000
130,8,std::sort,36500
140,8,own sorting network,93987300
140,8,openmp sorting network,54600
140,8,sequential sorting network,54300
140,8,std::sort,39700
150,8,own sorting network,93917500
