Array count,Array size,Sorter,Time
30,80,sequential sorting network,639000
30,80,std::sort,372800
40,80,own sorting network,2098782600
40,80,openmp sorting network,1058500
40,80,sequential sorting network,1077800
40,80,std::sort,563400
50,80,own sorting network,3136312400
50,80,openmp sorting network,1584400
50,80,sequential sorting network,1615600
50,80,std::sort,800500
60,80,own sorting network,4395925100
60,80,openmp sorting network,2218300
60,80,sequential sorting network,2271300
60,80,std::sort,1082500
70,80,own sorting network,5865795400
70,80,openmp sorting network,2961700
70,80,sequential sorting network,3016900
70,80,std::sort,1411000
80,80,own sorting network,7535462400
80,80,openmp sorting network,4191000
80,80,sequential sorting network,4090600
80,80,std::sort,1862900
90,80,own sorting network,9387234600
90,80,openmp sorting network,5137600
90,80,sequential sorting network,5080600
90,80,std::sort,2285200
100,80,own sorting network,11517112000
100,80,openmp sorting network,6233500
100,80,sequential sorting network,6202400
100,80,std::sort,2812100
10,88,own sorting network,226449300
10,88,openmp sorting network,130400
10,88,sequential sorting network,120900
10,88,std::sort,54000
20,88,own sorting network,693795500
20,88,openmp sorting network,368200
20,88,sequential sorting network,380400
20,88,std::sort,162800
30,88,own sorting network,1392525500
30,88,openmp sorting network,743600
30,88,sequential sorting network,739800
30,88,std::sort,334200
40,88,own sorting network,2311605800
40,88,openmp sorting network,1214500
40,88,sequential sorting network,1238800
40,88,std::sort,546400
50,88,own sorting network,3461411700
50,88,openmp sorting network,1826200
50,88,sequential sorting network,1846300
50,88,std::sort,815800
60,88,own sorting network,4858931800
60,88,openmp sorting network,2550000
60,88,sequential sorting network,2607400
60,88,std::sort,1154200
70,88,own sorting network,6490741100
70,88,openmp sorting network,3416000
70,88,sequential sorting network,3557900
70,88,std::sort,1609400
80,88,own sorting network,8370083800
80,88,openmp sorting network,4359200
80,88,sequential sorting network,4504900
80,88,std::sort,2037800
90,88,own sorting network,10496643800
90,88,openmp sorting network,5425300
90,88,sequential sorting network,5579700
90,88,std::sort,2556600
100,88,own sorting network,12817899100
100,88,openmp sorting network,6598700
100,88,sequential sorting network,6802500
100,88,std::sort,3134400
10,96,own sorting network,248091900
10,96,openmp sorting network,190900
10,96,sequential sorting network,152000
