Array count,Array size,Sorter,Time
50,72,openmp sorting network,1442800
50,72,sequential sorting network,1427100
50,72,std::sort,643700
60,72,own sorting network,4276970000
60,72,openmp sorting network,2008100
60,72,sequential sorting network,2001600
60,72,std::sort,890800
70,72,own sorting network,5698015100
70,72,openmp sorting network,2696600
70,72,sequential sorting network,2692800
70,72,std::sort,1209500
80,72,own sorting network,7313751700
80,72,openmp sorting network,3479300
80,72,sequential sorting network,3505100
80,72,std::sort,1581000
90,72,own sorting network,9138807800
90,72,openmp sorting network,4352600
90,72,sequential sorting network,4439000
90,72,std::sort,1989500
100,72,own sorting network,11172496200
100,72,openmp sorting network,5372200
100,72,sequential sorting network,5497000
100,72,std::sort,2441500
10,80,own sorting network,241875600
10,80,openmp sorting network,135000
10,80,sequential sorting network,119700
10,80,std::sort,51600
20,80,own sorting network,723891200
20,80,openmp sorting network,365400
20,80,sequential sorting network,339100
20,80,std::sort,149200
30,80,own sorting network,1424947200
30,80,openmp sorting network,710900
30,80,sequential sorting network,686900
30,80,std::sort,323800
40,80,own sorting network,2384921200
40,80,openmp sorting network,1177500
40,80,sequential sorting network,1160500
40,80,std::sort,531000
50,80,own sorting network,3589050800
50,80,openmp sorting network,1723000
50,80,sequential sorting network,1712000
50,80,std::sort,766900
60,80,own sorting network,4997914200
60,80,openmp sorting network,2449000
60,80,sequential sorting network,2412400
60,80,std::sort,1077100
70,80,own sorting network,6584937400
70,80,openmp sorting network,3208500
70,80,sequential sorting network,3272900
70,80,std::sort,1440300
80,80,own sorting network,8404026700
80,80,openmp sorting network,4083500
80,80,sequential sorting network,4148800
80,80,std::sort,1824800
90,80,own sorting network,10558062400
90,80,openmp sorting network,5076400
90,80,sequential sorting network,5252400
90,80,std::sort,2298100
100,80,own sorting network,12859569100
100,80,openmp sorting network,6128700
100,80,sequential sorting network,6348900
100,80,std::sort,2802500
10,88,own sorting network,247539700
10,88,openmp sorting network,119300
10,88,sequential sorting network,118700
10,88,std::sort,53800
20,88,own sorting network,754007400
20,88,openmp sorting network,363900
20,88,sequential sorting network,356000
20,88,std::sort,161500
30,88,own sorting network,1546442500
30,88,openmp sorting network,770100
30,88,sequential sorting network,775200
30,88,std::sort,347600
40,88,own sorting network,2591429800
40,88,openmp sorting network,1281000
40,88,sequential sorting network,1288000
40,88,std::sort,605600
50,88,own sorting network,3919429000
50,88,openmp sorting network,1872100
50,88,sequential sorting network,1881600
50,88,std::sort,867000
60,88,own sorting network,5463100600
60,88,openmp sorting network,2638100
60,88,sequential sorting network,2627200
60,88,std::sort,1210000
70,88,own sorting network,7250822900
70,88,openmp sorting network,3515600
70,88,sequential sorting network,3541600
70,88,std::sort,1614700
80,88,own sorting network,9263760900
80,88,openmp sorting network,4451400
80,88,sequential sorting network,4479800
80,88,std::sort,2058200
90,88,own sorting network,11550709500
90,88,openmp sorting network,5553100
90,88,sequential sorting network,5668300
90,88,std::sort,2593900
100,88,own sorting network,14091009900
100,88,openmp sorting network,6742100
100,88,sequential sorting network,6877500
100,88,std::sort,3149300
10,96,own sorting network,265063400
10,96,openmp sorting network,138200
10,96,sequential sorting network,131900
10,96,std::sort,60200
20,96,own sorting network,811907800
20,96,openmp sorting network,396700
20,96,sequential sorting network,390400
20,96,std::sort,178100
30,96,own sorting network,1620706700
30,96,openmp sorting network,790100
30,96,sequential sorting network,776500
30,96,std::sort,372900
40,96,own sorting network,2709278600
40,96,openmp sorting network,1363400
40,96,sequential sorting network,1379500
40,96,std::sort,652700
50,96,own sorting network,4057765300
50,96,openmp sorting network,2047200
50,96,sequential sorting network,2033100
50,96,std::sort,943400
60,96,own sorting network,5726547200
60,96,openmp sorting network,2828100
60,96,sequential sorting network,2871300
60,96,std::sort,1332400
70,96,own sorting network,7618780900
70,96,openmp sorting network,3734000
70,96,sequential sorting network,3777400
70,96,std::sort,1748400
80,96,own sorting network,9778098000
80,96,openmp sorting network,4777800
80,96,sequential sorting network,4832800
80,96,std::sort,2251500
90,96,own sorting network,12207159400
90,96,openmp sorting network,6204600
90,96,sequential sorting network,6094800
90,96,std::sort,2813800
100,96,own sorting network,14894644100
100,96,openmp sorting network,7544400
100,96,sequential sorting network,7530400
100,96,std::sort,3479000
10,104,own sorting network,282736200
10,104,openmp sorting network,146500
10,104,sequential sorting network,147000
10,104,std::sort,66600
20,104,own sorting network,868723800
20,104,openmp sorting network,456200
20,104,sequential sorting network,439700
20,104,std::sort,199200
30,104,own sorting network,1749873300
30,104,openmp sorting network,887800
30,104,sequential sorting network,866300
30,104,std::sort,392100
40,104,own sorting network,2941087800
40,104,openmp sorting network,1460200
